provider_id,provider_name,provider_city,provider_state,provider_zip_code,ms_drg_definition,total_discharges,average_covered_charges,average_total_payments,average_medicare_payments
330111,Bayside General Hospital 111,Bayside,NY,11361,871 - Septicemia or Severe Sepsis w MCC,3,92245.2,21199.99,17893.98
330205,Staten Island General Hospital 205,Staten Island,NY,10314,872 - Septicemia or Severe Sepsis w/o MCC,79,101535.42,27001.58,22365.87
330194,Great Neck General Hospital 194,Great Neck,NY,11021,640 - Nutritional & Misc Metabolic Disorders w MCC,81,99030.58,29104.12,24616.43
330243,Brooklyn General Hospital 243,Brooklyn,NY,11201,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",45,21377.53,6295.85,5131.06
330162,Bronx General Hospital 162,Bronx,NY,10451,378 - Gastrointestinal Hemorrhage w CC,106,62651.78,21635.43,17583.56
330178,Garden City General Hospital 178,Garden City,NY,11530,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",47,28384.7,6397.22,5043.04
330260,New Hyde Park General Hospital 260,New Hyde Park,NY,11040,871 - Septicemia or Severe Sepsis w MCC,57,126446.47,39152.12,34819.95
330241,New York General Hospital 241,New York,NY,10001,"394 - Esophagitis, Gastroenteritis & Misc Digest Disorders w/o CC/MCC",40,25981.31,7668.91,6318.25
330150,Flushing General Hospital 150,Flushing,NY,11354,552 - Medical Back Problems w MCC,52,44875.16,14462.08,12899.86
330066,Elmira General Hospital 66,Elmira,NY,14901,638 - Diabetes w CC,69,62180.41,20641.08,18125.03
330087,Buffalo General Hospital 87,Buffalo,NY,14215,638 - Diabetes w CC,95,64441.28,15026.24,12522.72
330111,Bayside General Hospital 111,Bayside,NY,11361,"281 - Acute Myocardial Infarction, Discharged Alive w CC",56,53274.32,12265.13,10796.69
330064,Utica General Hospital 64,Utica,NY,13501,250 - Perc Cardiovasc Proc w Non-Drug-Eluting Stent w/o MCC,62,39138.78,14960.71,12259.73
330213,New Rochelle General Hospital 213,New Rochelle,NY,10801,330 - Major Small & Large Bowel Procedures w CC,73,50175.88,7648.19,6362.86
330096,Newburgh General Hospital 96,Newburgh,NY,12550,179 - Respiratory Infections & Inflammations w/o CC/MCC,12,25954.76,8925.6,8011.32
330273,Stony Brook General Hospital 273,Stony Brook,NY,11790,248 - Perc Cardiovasc Proc w Drug-Eluting Stent w/o MCC,103,93815.45,20138.47,16170.65
330219,Hicksville General Hospital 219,Hicksville,NY,11801,389 - G.I. Obstruction w MCC,25,63996.39,21620.86,18432.77
330048,Rochester General Hospital 48,Rochester,NY,14607,178 - Respiratory Infections & Inflammations w CC,74,100161.87,23545.3,19343.23
330118,Huntington General Hospital 118,Huntington,NY,11743,331 - Major Small & Large Bowel Procedures w/o CC/MCC,35,74172.83,18889.82,15590.36
330229,Jamaica General Hospital 229,Jamaica,NY,11432,292 - Heart Failure & Shock w CC,68,72760.21,11311.5,8900.23
330190,Flushing General Hospital 190,Flushing,NY,11354,"280 - Acute Myocardial Infarction, Discharged Alive w MCC",90,28664.64,5173.33,3965.13
330223,Schenectady General Hospital 223,Schenectady,NY,12305,552 - Medical Back Problems w MCC,40,56365.36,10307.08,8209.05
330134,Poughkeepsie General Hospital 134,Poughkeepsie,NY,12601,194 - Simple Pneumonia & Pleurisy w MCC,73,26745.26,6525.34,5184.23
330017,Riverhead General Hospital 17,Riverhead,NY,11901,"405 - Pancreas, Liver & Shunt Procedures w MCC",54,69555.08,11696.94,9751.15
330153,Stony Brook General Hospital 153,Stony Brook,NY,11790,"405 - Pancreas, Liver & Shunt Procedures w MCC",51,76444.2,29553.35,28326.7
330134,Poughkeepsie General Hospital 134,Poughkeepsie,NY,12601,291 - Heart Failure & Shock w MCC,102,76791.18,25708.28,19990.65
330120,Plainview General Hospital 120,Plainview,NY,11803,379 - Gastrointestinal Hemorrhage w/o CC/MCC,61,53166.33,14801.77,12518.19
330176,Newburgh General Hospital 176,Newburgh,NY,12550,639 - Diabetes w/o CC/MCC,57,25589.46,4519.0,4172.61
330046,Albany General Hospital 46,Albany,NY,12208,391 - G.I. Obstruction w/o CC/MCC,78,51046.58,17833.11,15050.23
330283,Brooklyn General Hospital 283,Brooklyn,NY,11201,195 - Simple Pneumonia & Pleurisy w CC,31,31449.21,11926.69,10665.86
330085,Staten Island General Hospital 85,Staten Island,NY,10314,690 - Kidney & Urinary Tract Infections w/o MCC,77,39350.63,12662.07,11685.47
330077,Smithtown General Hospital 77,Smithtown,NY,11787,379 - Gastrointestinal Hemorrhage w/o CC/MCC,99,52995.03,18803.13,15632.62
330186,Elmira General Hospital 186,Elmira,NY,14901,196 - Simple Pneumonia & Pleurisy w/o CC/MCC,35,106399.82,43243.44,38296.81
330134,Poughkeepsie General Hospital 134,Poughkeepsie,NY,12601,293 - Heart Failure & Shock w/o CC/MCC,49,31760.04,9325.84,7842.95
330078,Huntington General Hospital 78,Huntington,NY,11743,470 - Major Joint Replacement w/o MCC,36,57626.63,19120.83,16059.4
330209,Syracuse General Hospital 209,Syracuse,NY,13210,689 - Kidney & Urinary Tract Infections w MCC,37,80583.03,24601.74,19758.24
330119,Bay Shore General Hospital 119,Bay Shore,NY,11706,378 - Gastrointestinal Hemorrhage w CC,104,44225.0,10786.26,8730.31
330003,Brooklyn General Hospital 3,Brooklyn,NY,11201,682 - Renal Failure w MCC,27,96902.27,27629.96,21703.39
330130,Ithaca General Hospital 130,Ithaca,NY,14850,638 - Diabetes w CC,91,67199.76,25488.46,21360.78
330175,Middletown General Hospital 175,Middletown,NY,10940,331 - Major Small & Large Bowel Procedures w/o CC/MCC,29,96087.35,26322.59,20471.24
330076,Patchogue General Hospital 76,Patchogue,NY,11772,639 - Diabetes w/o CC/MCC,103,26558.48,7500.96,5701.8
330094,Poughkeepsie General Hospital 94,Poughkeepsie,NY,12601,682 - Renal Failure w MCC,57,69780.28,25069.85,20529.99
330131,White Plains General Hospital 131,White Plains,NY,10601,"406 - Pancreas, Liver & Shunt Procedures w CC",85,41356.16,9233.84,7856.01
330193,Stony Brook General Hospital 193,Stony Brook,NY,11790,391 - G.I. Obstruction w/o CC/MCC,76,43089.39,6341.09,5057.11
330131,White Plains General Hospital 131,White Plains,NY,10601,603 - Cellulitis w/o MCC,62,27145.38,8914.71,7422.1
330120,Plainview General Hospital 120,Plainview,NY,11803,470 - Major Joint Replacement w/o MCC,59,49952.73,13404.12,11184.84
330054,Poughkeepsie General Hospital 54,Poughkeepsie,NY,12601,639 - Diabetes w/o CC/MCC,64,24116.07,6509.41,5502.31
330242,Bronx General Hospital 242,Bronx,NY,10451,"406 - Pancreas, Liver & Shunt Procedures w CC",51,36375.47,10864.13,9017.68
330191,Bayside General Hospital 191,Bayside,NY,11361,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",49,27349.79,9419.09,8427.6
330007,Buffalo General Hospital 7,Buffalo,NY,14215,"392 - Esophagitis, Gastroenteritis & Misc Digest Disorders w MCC",43,56990.98,12081.35,10994.28
330106,Elmira General Hospital 106,Elmira,NY,14901,603 - Cellulitis w/o MCC,57,31168.69,10495.23,9066.5
330213,New Rochelle General Hospital 213,New Rochelle,NY,10801,291 - Heart Failure & Shock w MCC,69,101154.86,22042.06,19007.64
330029,Jamaica General Hospital 29,Jamaica,NY,11432,441 - Disorders of Pancreas Except Malignancy w/o CC/MCC,20,97600.51,33047.61,27559.79
330150,Flushing General Hospital 150,Flushing,NY,11354,250 - Perc Cardiovasc Proc w Non-Drug-Eluting Stent w/o MCC,36,29952.04,10252.89,9075.05
330045,Staten Island General Hospital 45,Staten Island,NY,10314,690 - Kidney & Urinary Tract Infections w/o MCC,97,44415.0,14949.43,12617.57
330018,Garden City General Hospital 18,Garden City,NY,11530,638 - Diabetes w CC,64,62065.25,19643.01,17012.49
330162,Bronx General Hospital 162,Bronx,NY,10451,196 - Simple Pneumonia & Pleurisy w/o CC/MCC,51,115979.02,29634.42,26098.56
330193,Stony Brook General Hospital 193,Stony Brook,NY,11790,439 - Disorders of Pancreas Except Malignancy w MCC,84,123546.66,18419.17,16335.0
330107,Auburn General Hospital 107,Auburn,NY,13021,639 - Diabetes w/o CC/MCC,31,21277.53,7855.16,6089.66
330224,Utica General Hospital 224,Utica,NY,13501,"280 - Acute Myocardial Infarction, Discharged Alive w MCC",39,39304.54,11230.61,10216.8
330121,New York General Hospital 121,New York,NY,10001,639 - Diabetes w/o CC/MCC,79,23529.4,5812.47,5026.08
330007,Buffalo General Hospital 7,Buffalo,NY,14215,602 - Cellulitis w MCC,74,67853.17,15905.12,13098.97
330042,Bronx General Hospital 42,Bronx,NY,10451,441 - Disorders of Pancreas Except Malignancy w/o CC/MCC,48,122240.56,26746.97,22585.35
330078,Huntington General Hospital 78,Huntington,NY,11743,177 - Respiratory Infections & Inflammations w MCC,79,59689.92,9161.9,7853.64
330189,Jamaica General Hospital 189,Jamaica,NY,11432,378 - Gastrointestinal Hemorrhage w CC,34,44345.31,13416.89,11226.54
330123,Brooklyn General Hospital 123,Brooklyn,NY,11201,469 - Major Joint Replacement w MCC,33,102137.26,26793.73,25769.79
330148,Melville General Hospital 148,Melville,NY,11747,"281 - Acute Myocardial Infarction, Discharged Alive w CC",70,42780.49,12230.28,10612.85
330097,Riverhead General Hospital 97,Riverhead,NY,11901,689 - Kidney & Urinary Tract Infections w MCC,96,70335.06,18038.01,15175.84
330194,Great Neck General Hospital 194,Great Neck,NY,11021,872 - Septicemia or Severe Sepsis w/o MCC,4,98335.9,20897.94,18448.71
330137,Riverhead General Hospital 137,Riverhead,NY,11901,292 - Heart Failure & Shock w CC,64,68813.86,7446.6,6592.81
330065,Watertown General Hospital 65,Watertown,NY,13601,"281 - Acute Myocardial Infarction, Discharged Alive w CC",68,35006.16,7213.31,6190.42
330272,Forest Hills General Hospital 272,Forest Hills,NY,11375,684 - Renal Failure w/o CC/MCC,72,83774.43,30239.94,24264.67
330218,Garden City General Hospital 218,Garden City,NY,11530,683 - Renal Failure w CC,10,48290.1,17122.66,14583.69
330064,Utica General Hospital 64,Utica,NY,13501,249 - Perc Cardiovasc Proc w Non-Drug-Eluting Stent w MCC,74,49558.26,16021.81,14248.17
330219,Hicksville General Hospital 219,Hicksville,NY,11801,871 - Septicemia or Severe Sepsis w MCC,70,118500.53,22293.05,16904.78
330240,Plainview General Hospital 240,Plainview,NY,11803,195 - Simple Pneumonia & Pleurisy w CC,51,27178.0,8787.01,7456.45
330163,Brooklyn General Hospital 163,Brooklyn,NY,11201,379 - Gastrointestinal Hemorrhage w/o CC/MCC,52,52207.54,13783.54,12039.55
330022,Troy General Hospital 22,Troy,NY,12180,684 - Renal Failure w/o CC/MCC,92,69009.04,25560.2,22265.21
330134,Poughkeepsie General Hospital 134,Poughkeepsie,NY,12601,178 - Respiratory Infections & Inflammations w CC,55,67424.02,19694.46,16587.65
330078,Huntington General Hospital 78,Huntington,NY,11743,440 - Disorders of Pancreas Except Malignancy w CC,38,92822.37,23588.01,22206.49
330148,Melville General Hospital 148,Melville,NY,11747,682 - Renal Failure w MCC,65,59602.83,10957.32,8929.88
330117,Smithtown General Hospital 117,Smithtown,NY,11787,440 - Disorders of Pancreas Except Malignancy w CC,51,125465.65,28450.53,26433.21
330032,Forest Hills General Hospital 32,Forest Hills,NY,11375,331 - Major Small & Large Bowel Procedures w/o CC/MCC,26,83844.79,31041.05,26178.47
330165,Staten Island General Hospital 165,Staten Island,NY,10314,179 - Respiratory Infections & Inflammations w/o CC/MCC,50,21130.26,6426.35,5450.59
330126,Albany General Hospital 126,Albany,NY,12208,196 - Simple Pneumonia & Pleurisy w/o CC/MCC,51,124101.14,22842.14,18615.1
330115,Mineola General Hospital 115,Mineola,NY,11501,331 - Major Small & Large Bowel Procedures w/o CC/MCC,79,79450.09,26962.67,23237.83
330135,Middletown General Hospital 135,Middletown,NY,10940,684 - Renal Failure w/o CC/MCC,54,71573.26,20485.97,14950.13
330041,New York General Hospital 41,New York,NY,10001,602 - Cellulitis w MCC,88,55110.35,20401.32,16694.12
330051,White Plains General Hospital 51,White Plains,NY,10601,"394 - Esophagitis, Gastroenteritis & Misc Digest Disorders w/o CC/MCC",94,25658.1,6706.65,5666.23
330041,New York General Hospital 41,New York,NY,10001,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",35,28775.89,6599.92,6027.93
330283,Brooklyn General Hospital 283,Brooklyn,NY,11201,682 - Renal Failure w MCC,22,53887.8,21793.2,19333.95
330092,Yonkers General Hospital 92,Yonkers,NY,10701,250 - Perc Cardiovasc Proc w Non-Drug-Eluting Stent w/o MCC,65,33279.25,9528.04,8179.22
330004,Queens General Hospital 4,Queens,NY,11355,249 - Perc Cardiovasc Proc w Non-Drug-Eluting Stent w MCC,58,41940.42,12184.58,10135.37
330197,Smithtown General Hospital 197,Smithtown,NY,11787,470 - Major Joint Replacement w/o MCC,82,48831.83,12334.76,10475.41
330188,Melville General Hospital 188,Melville,NY,11747,690 - Kidney & Urinary Tract Infections w/o MCC,42,39486.23,13092.66,11082.02
330113,Stony Brook General Hospital 113,Stony Brook,NY,11790,602 - Cellulitis w MCC,41,68451.49,19725.36,17907.09
330185,Watertown General Hospital 185,Watertown,NY,13601,440 - Disorders of Pancreas Except Malignancy w CC,90,106861.05,24277.88,21480.67
330261,Mount Kisco General Hospital 261,Mount Kisco,NY,10549,439 - Disorders of Pancreas Except Malignancy w MCC,71,134638.35,49758.03,44562.51
330222,Troy General Hospital 222,Troy,NY,12180,"392 - Esophagitis, Gastroenteritis & Misc Digest Disorders w MCC",56,65886.85,15980.64,13125.18
330096,Newburgh General Hospital 96,Newburgh,NY,12550,554 - Medical Back Problems w/o CC/MCC,35,83460.45,19974.72,17010.96
330042,Bronx General Hospital 42,Bronx,NY,10451,682 - Renal Failure w MCC,73,60964.03,15745.32,14077.15
330082,Bronx General Hospital 82,Bronx,NY,10451,"282 - Acute Myocardial Infarction, Discharged Alive w/o CC/MCC",80,93763.17,29468.53,22121.25
330159,Bay Shore General Hospital 159,Bay Shore,NY,11706,377 - Gastrointestinal Hemorrhage w MCC,66,24172.62,3000.0,2684.14
330145,Watertown General Hospital 145,Watertown,NY,13601,389 - G.I. Obstruction w MCC,91,62958.09,20555.41,18041.35
330050,Ithaca General Hospital 50,Ithaca,NY,14850,638 - Diabetes w CC,13,64614.03,24869.83,20801.46
330079,Bay Shore General Hospital 79,Bay Shore,NY,11706,291 - Heart Failure & Shock w MCC,49,76402.04,14243.59,12425.67
330034,Great Neck General Hospital 34,Great Neck,NY,11021,293 - Heart Failure & Shock w/o CC/MCC,42,36976.31,8720.52,7600.96
330193,Stony Brook General Hospital 193,Stony Brook,NY,11790,177 - Respiratory Infections & Inflammations w MCC,110,95191.64,14452.17,11530.46
330256,Newburgh General Hospital 256,Newburgh,NY,12550,179 - Respiratory Infections & Inflammations w/o CC/MCC,57,18840.69,8158.23,7274.79
330099,Hicksville General Hospital 99,Hicksville,NY,11801,377 - Gastrointestinal Hemorrhage w MCC,53,32336.58,5297.03,4725.05
330045,Staten Island General Hospital 45,Staten Island,NY,10314,"392 - Esophagitis, Gastroenteritis & Misc Digest Disorders w MCC",15,75936.48,25763.64,22587.43
330129,Syracuse General Hospital 129,Syracuse,NY,13210,640 - Nutritional & Misc Metabolic Disorders w MCC,60,144341.14,40689.44,35892.41
330080,Plainview General Hospital 80,Plainview,NY,11803,"282 - Acute Myocardial Infarction, Discharged Alive w/o CC/MCC",26,71308.64,27710.28,23866.65
330073,Stony Brook General Hospital 73,Stony Brook,NY,11790,603 - Cellulitis w/o MCC,92,32812.11,10351.06,8590.93
330127,Buffalo General Hospital 127,Buffalo,NY,14215,682 - Renal Failure w MCC,18,78083.29,19656.8,18335.03
330102,Troy General Hospital 102,Troy,NY,12180,440 - Disorders of Pancreas Except Malignancy w CC,96,137345.24,54439.38,49711.83
330008,Rochester General Hospital 8,Rochester,NY,14607,"280 - Acute Myocardial Infarction, Discharged Alive w MCC",53,43594.54,9755.48,9020.25
330280,Plainview General Hospital 280,Plainview,NY,11803,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",71,28511.02,8547.69,7351.91
330070,Flushing General Hospital 70,Flushing,NY,11354,390 - G.I. Obstruction w CC,4,88025.1,28664.99,25568.06
330178,Garden City General Hospital 178,Garden City,NY,11530,871 - Septicemia or Severe Sepsis w MCC,80,126709.73,41475.61,33591.88
330002,Bronx General Hospital 2,Bronx,NY,10451,552 - Medical Back Problems w MCC,48,40468.26,16519.23,15015.52
330082,Bronx General Hospital 82,Bronx,NY,10451,"407 - Pancreas, Liver & Shunt Procedures w/o CC/MCC",63,21962.91,6900.67,5924.97
330022,Troy General Hospital 22,Troy,NY,12180,"394 - Esophagitis, Gastroenteritis & Misc Digest Disorders w/o CC/MCC",79,29007.69,10445.68,8153.97
330135,Middletown General Hospital 135,Middletown,NY,10940,682 - Renal Failure w MCC,67,93056.41,24963.7,22208.54
330171,White Plains General Hospital 171,White Plains,NY,10601,248 - Perc Cardiovasc Proc w Drug-Eluting Stent w/o MCC,78,84994.0,23467.09,21226.1
330178,Garden City General Hospital 178,Garden City,NY,11530,689 - Kidney & Urinary Tract Infections w MCC,106,59576.07,23558.92,18828.92
330109,Jamaica General Hospital 109,Jamaica,NY,11432,196 - Simple Pneumonia & Pleurisy w/o CC/MCC,113,88976.78,40183.68,33172.97
330134,Poughkeepsie General Hospital 134,Poughkeepsie,NY,12601,441 - Disorders of Pancreas Except Malignancy w/o CC/MCC,75,103938.5,32574.12,29897.47
330251,White Plains General Hospital 251,White Plains,NY,10601,469 - Major Joint Replacement w MCC,48,127966.56,26268.28,21095.14
330276,Patchogue General Hospital 276,Patchogue,NY,11772,639 - Diabetes w/o CC/MCC,69,19835.42,6568.95,5171.62
330282,Bronx General Hospital 282,Bronx,NY,10451,871 - Septicemia or Severe Sepsis w MCC,43,126654.13,22902.31,19538.94
330226,Elmira General Hospital 226,Elmira,NY,14901,330 - Major Small & Large Bowel Procedures w CC,77,39879.67,5709.97,4438.35
330152,Forest Hills General Hospital 152,Forest Hills,NY,11375,872 - Septicemia or Severe Sepsis w/o MCC,64,96668.54,18666.73,16009.76
330074,Great Neck General Hospital 74,Great Neck,NY,11021,293 - Heart Failure & Shock w/o CC/MCC,75,37810.74,13207.62,11617.49
330028,Melville General Hospital 28,Melville,NY,11747,250 - Perc Cardiovasc Proc w Non-Drug-Eluting Stent w/o MCC,49,43089.35,13265.63,11537.51
330115,Mineola General Hospital 115,Mineola,NY,11501,639 - Diabetes w/o CC/MCC,43,27695.67,8712.84,7483.95
330227,Auburn General Hospital 227,Auburn,NY,13021,390 - G.I. Obstruction w CC,3,112826.56,36675.09,32895.51
